,Dataset,embeddings,# Features,# Samples,Feature_Samples_ratio,Intrinsic_Dimension,Condition number,Fisher Discriminant Ratio,Total Correlations,Mutual information,# Non-zero entries,# Low variance features,Variation,std_var,Coefficient of Variation %,std_co_of_v,Skewness,std_skew,Kurtosis,std_kurt,Mean Log Kernel Density,Isomap Reconstruction Error,Fractal dimension,Entropy,std_entropy,iteration,model,accuracy,f1_score,time,auc,Model_Parameters,datatype,model_embed_datatype
10,iris_binary_class_dataset.csv,nmf,3,70,0.0429,2,9.9705,10.4882,3.4345,0.5064,198,1,0.0333,0.0321,71.4303,16.9529,0.319,0.2129,-0.8656,0.967,1.1137,0.0021,1.9883,1.0,0.0,1,dt,1.0,1.0,0.0034160614013671,1.0,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}",iris_binary_class_dataset,dt_nmf_iris_binary_class_dataset
11,iris_binary_class_dataset.csv,nmf,3,70,0.0429,2,9.9705,10.4882,3.4345,0.5064,198,1,0.0333,0.0321,71.4303,16.9529,0.319,0.2129,-0.8656,0.967,1.1137,0.0021,1.9883,1.0,0.0,1,lr,1.0,1.0,0.0167458057403564,1.0,"{'estimator__C': 1.0, 'estimator__class_weight': None, 'estimator__dual': False, 'estimator__fit_intercept': True, 'estimator__intercept_scaling': 1, 'estimator__l1_ratio': None, 'estimator__max_iter': 10000, 'estimator__multi_class': 'deprecated', 'estimator__n_jobs': None, 'estimator__penalty': 'l2', 'estimator__random_state': None, 'estimator__solver': 'saga', 'estimator__tol': 0.0001, 'estimator__verbose': 0, 'estimator__warm_start': False, 'estimator': LogisticRegression(max_iter=10000, solver='saga'), 'n_jobs': None}",iris_binary_class_dataset,lr_nmf_iris_binary_class_dataset
12,iris_binary_class_dataset.csv,nmf,3,70,0.0429,2,9.9705,10.4882,3.4345,0.5064,198,1,0.0333,0.0321,71.4303,16.9529,0.319,0.2129,-0.8656,0.967,1.1137,0.0021,1.9883,1.0,0.0,1,mlp,1.0,1.0,0.1636903285980224,1.0,"{'estimator__activation': 'relu', 'estimator__alpha': 0.0001, 'estimator__batch_size': 'auto', 'estimator__beta_1': 0.9, 'estimator__beta_2': 0.999, 'estimator__early_stopping': False, 'estimator__epsilon': 1e-08, 'estimator__hidden_layer_sizes': 100, 'estimator__learning_rate': 'constant', 'estimator__learning_rate_init': 0.001, 'estimator__max_fun': 15000, 'estimator__max_iter': 10000, 'estimator__momentum': 0.9, 'estimator__n_iter_no_change': 10, 'estimator__nesterovs_momentum': True, 'estimator__power_t': 0.5, 'estimator__random_state': None, 'estimator__shuffle': True, 'estimator__solver': 'adam', 'estimator__tol': 0.0001, 'estimator__validation_fraction': 0.1, 'estimator__verbose': False, 'estimator__warm_start': False, 'estimator': MLPClassifier(hidden_layer_sizes=100, max_iter=10000), 'n_jobs': None}",iris_binary_class_dataset,mlp_nmf_iris_binary_class_dataset
13,iris_binary_class_dataset.csv,nmf,3,70,0.0429,2,9.9705,10.4882,3.4345,0.5064,198,1,0.0333,0.0321,71.4303,16.9529,0.319,0.2129,-0.8656,0.967,1.1137,0.0021,1.9883,1.0,0.0,1,nb,1.0,1.0,0.0037140846252441,1.0,"{'estimator__priors': None, 'estimator__var_smoothing': 1e-09, 'estimator': GaussianNB(), 'n_jobs': None}",iris_binary_class_dataset,nb_nmf_iris_binary_class_dataset
14,iris_binary_class_dataset.csv,nmf,3,70,0.0429,2,9.9705,10.4882,3.4345,0.5064,198,1,0.0333,0.0321,71.4303,16.9529,0.319,0.2129,-0.8656,0.967,1.1137,0.0021,1.9883,1.0,0.0,1,pqk,1.0,1.0,2.0938870906829834,1.0,"{'feature_map': 'ZZFeatureMap', 'feature_map_reps': 4, 'entanglement': 'pairwise', 'svc_best_params': {'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}}",iris_binary_class_dataset,pqk_nmf_iris_binary_class_dataset
15,iris_binary_class_dataset.csv,nmf,3,70,0.0429,2,9.9705,10.4882,3.4345,0.5064,198,1,0.0333,0.0321,71.4303,16.9529,0.319,0.2129,-0.8656,0.967,1.1137,0.0021,1.9883,1.0,0.0,1,qnn,0.5,0.375,11.773510217666626,0.6666666666666667,"{'feature_map': 'ZZFeatureMap', 'ansatz': 'RealAmplitudes', 'optimizer': 'COBYLA', 'optimizer_params': {'maxiter': 100, 'disp': False, 'rhobeg': 1.0, 'max_evals_grouped': 1, 'options': {}, 'tol': None}}",iris_binary_class_dataset,qnn_nmf_iris_binary_class_dataset
16,iris_binary_class_dataset.csv,nmf,3,70,0.0429,2,9.9705,10.4882,3.4345,0.5064,198,1,0.0333,0.0321,71.4303,16.9529,0.319,0.2129,-0.8656,0.967,1.1137,0.0021,1.9883,1.0,0.0,1,qsvc,0.9,0.898989898989899,25.734095811843872,0.9,"{'feature_map': 'ZZFeatureMap', 'quantum_kernel': 'FidelityQuantumKernel', 'C': 0.01, 'gamma': 'scale'}",iris_binary_class_dataset,qsvc_nmf_iris_binary_class_dataset
17,iris_binary_class_dataset.csv,nmf,3,70,0.0429,2,9.9705,10.4882,3.4345,0.5064,198,1,0.0333,0.0321,71.4303,16.9529,0.319,0.2129,-0.8656,0.967,1.1137,0.0021,1.9883,1.0,0.0,1,rf,1.0,1.0,0.0834739208221435,1.0,"{'estimator__bootstrap': True, 'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__max_leaf_nodes': None, 'estimator__max_samples': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__n_estimators': 100, 'estimator__n_jobs': None, 'estimator__oob_score': False, 'estimator__random_state': None, 'estimator__verbose': 0, 'estimator__warm_start': False, 'estimator': RandomForestClassifier(), 'n_jobs': None}",iris_binary_class_dataset,rf_nmf_iris_binary_class_dataset
18,iris_binary_class_dataset.csv,nmf,3,70,0.0429,2,9.9705,10.4882,3.4345,0.5064,198,1,0.0333,0.0321,71.4303,16.9529,0.319,0.2129,-0.8656,0.967,1.1137,0.0021,1.9883,1.0,0.0,1,svc,1.0,1.0,0.0188589096069335,1.0,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}",iris_binary_class_dataset,svc_nmf_iris_binary_class_dataset
19,iris_binary_class_dataset.csv,nmf,3,70,0.0429,2,9.9705,10.4882,3.4345,0.5064,198,1,0.0333,0.0321,71.4303,16.9529,0.319,0.2129,-0.8656,0.967,1.1137,0.0021,1.9883,1.0,0.0,1,vqc,0.8,0.7916666666666666,36.98294401168823,0.8,"{'feature_map': 'ZZFeatureMap', 'ansatz': 'RealAmplitudes', 'optimizer': 'COBYLA', 'optimizer_params': {'maxiter': 100, 'disp': False, 'rhobeg': 1.0, 'max_evals_grouped': 1, 'options': {}, 'tol': None}}",iris_binary_class_dataset,vqc_nmf_iris_binary_class_dataset
20,iris_binary_class_dataset.csv,none,4,70,0.0571,2,22.485,8.1139,7.6941,0.5262,273,1,0.0925,0.0443,68.7725,14.9625,0.2428,0.1644,-1.0441,0.9578,1.0268,0.0129,1.9912,1.0,0.0,1,dt,1.0,1.0,0.004000186920166,1.0,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}",iris_binary_class_dataset,dt_none_iris_binary_class_dataset
21,iris_binary_class_dataset.csv,none,4,70,0.0571,2,22.485,8.1139,7.6941,0.5262,273,1,0.0925,0.0443,68.7725,14.9625,0.2428,0.1644,-1.0441,0.9578,1.0268,0.0129,1.9912,1.0,0.0,1,lr,1.0,1.0,0.0038728713989257,1.0,"{'estimator__C': 1.0, 'estimator__class_weight': None, 'estimator__dual': False, 'estimator__fit_intercept': True, 'estimator__intercept_scaling': 1, 'estimator__l1_ratio': None, 'estimator__max_iter': 10000, 'estimator__multi_class': 'deprecated', 'estimator__n_jobs': None, 'estimator__penalty': 'l2', 'estimator__random_state': None, 'estimator__solver': 'saga', 'estimator__tol': 0.0001, 'estimator__verbose': 0, 'estimator__warm_start': False, 'estimator': LogisticRegression(max_iter=10000, solver='saga'), 'n_jobs': None}",iris_binary_class_dataset,lr_none_iris_binary_class_dataset
22,iris_binary_class_dataset.csv,none,4,70,0.0571,2,22.485,8.1139,7.6941,0.5262,273,1,0.0925,0.0443,68.7725,14.9625,0.2428,0.1644,-1.0441,0.9578,1.0268,0.0129,1.9912,1.0,0.0,1,mlp,1.0,1.0,0.1135239601135253,1.0,"{'estimator__activation': 'relu', 'estimator__alpha': 0.0001, 'estimator__batch_size': 'auto', 'estimator__beta_1': 0.9, 'estimator__beta_2': 0.999, 'estimator__early_stopping': False, 'estimator__epsilon': 1e-08, 'estimator__hidden_layer_sizes': 100, 'estimator__learning_rate': 'constant', 'estimator__learning_rate_init': 0.001, 'estimator__max_fun': 15000, 'estimator__max_iter': 10000, 'estimator__momentum': 0.9, 'estimator__n_iter_no_change': 10, 'estimator__nesterovs_momentum': True, 'estimator__power_t': 0.5, 'estimator__random_state': None, 'estimator__shuffle': True, 'estimator__solver': 'adam', 'estimator__tol': 0.0001, 'estimator__validation_fraction': 0.1, 'estimator__verbose': False, 'estimator__warm_start': False, 'estimator': MLPClassifier(hidden_layer_sizes=100, max_iter=10000), 'n_jobs': None}",iris_binary_class_dataset,mlp_none_iris_binary_class_dataset
23,iris_binary_class_dataset.csv,none,4,70,0.0571,2,22.485,8.1139,7.6941,0.5262,273,1,0.0925,0.0443,68.7725,14.9625,0.2428,0.1644,-1.0441,0.9578,1.0268,0.0129,1.9912,1.0,0.0,1,nb,1.0,1.0,0.0045831203460693,1.0,"{'estimator__priors': None, 'estimator__var_smoothing': 1e-09, 'estimator': GaussianNB(), 'n_jobs': None}",iris_binary_class_dataset,nb_none_iris_binary_class_dataset
24,iris_binary_class_dataset.csv,none,4,70,0.0571,2,22.485,8.1139,7.6941,0.5262,273,1,0.0925,0.0443,68.7725,14.9625,0.2428,0.1644,-1.0441,0.9578,1.0268,0.0129,1.9912,1.0,0.0,1,pqk,1.0,1.0,3.0509719848632812,1.0,"{'feature_map': 'ZZFeatureMap', 'feature_map_reps': 4, 'entanglement': 'pairwise', 'svc_best_params': {'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}}",iris_binary_class_dataset,pqk_none_iris_binary_class_dataset
25,iris_binary_class_dataset.csv,none,4,70,0.0571,2,22.485,8.1139,7.6941,0.5262,273,1,0.0925,0.0443,68.7725,14.9625,0.2428,0.1644,-1.0441,0.9578,1.0268,0.0129,1.9912,1.0,0.0,1,qnn,0.4666666666666667,0.358974358974359,15.334914207458496,0.6333333333333333,"{'feature_map': 'ZZFeatureMap', 'ansatz': 'RealAmplitudes', 'optimizer': 'COBYLA', 'optimizer_params': {'maxiter': 100, 'disp': False, 'rhobeg': 1.0, 'max_evals_grouped': 1, 'options': {}, 'tol': None}}",iris_binary_class_dataset,qnn_none_iris_binary_class_dataset
26,iris_binary_class_dataset.csv,none,4,70,0.0571,2,22.485,8.1139,7.6941,0.5262,273,1,0.0925,0.0443,68.7725,14.9625,0.2428,0.1644,-1.0441,0.9578,1.0268,0.0129,1.9912,1.0,0.0,1,qsvc,0.9333333333333332,0.9330357142857144,30.230976104736328,0.9333333333333332,"{'feature_map': 'ZZFeatureMap', 'quantum_kernel': 'FidelityQuantumKernel', 'C': 0.01, 'gamma': 'scale'}",iris_binary_class_dataset,qsvc_none_iris_binary_class_dataset
27,iris_binary_class_dataset.csv,none,4,70,0.0571,2,22.485,8.1139,7.6941,0.5262,273,1,0.0925,0.0443,68.7725,14.9625,0.2428,0.1644,-1.0441,0.9578,1.0268,0.0129,1.9912,1.0,0.0,1,rf,1.0,1.0,0.0774588584899902,1.0,"{'estimator__bootstrap': True, 'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__max_leaf_nodes': None, 'estimator__max_samples': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__n_estimators': 100, 'estimator__n_jobs': None, 'estimator__oob_score': False, 'estimator__random_state': None, 'estimator__verbose': 0, 'estimator__warm_start': False, 'estimator': RandomForestClassifier(), 'n_jobs': None}",iris_binary_class_dataset,rf_none_iris_binary_class_dataset
28,iris_binary_class_dataset.csv,none,4,70,0.0571,2,22.485,8.1139,7.6941,0.5262,273,1,0.0925,0.0443,68.7725,14.9625,0.2428,0.1644,-1.0441,0.9578,1.0268,0.0129,1.9912,1.0,0.0,1,svc,1.0,1.0,0.0068967342376708,1.0,"{'estimator__C': 0.01, 'estimator__break_ties': False, 'estimator__cache_size': 200, 'estimator__class_weight': None, 'estimator__coef0': 0.0, 'estimator__decision_function_shape': 'ovr', 'estimator__degree': 3, 'estimator__gamma': 0.1, 'estimator__kernel': 'linear', 'estimator__max_iter': -1, 'estimator__probability': False, 'estimator__random_state': None, 'estimator__shrinking': True, 'estimator__tol': 0.001, 'estimator__verbose': False, 'estimator': SVC(C=0.01, gamma=0.1, kernel='linear'), 'n_jobs': None}",iris_binary_class_dataset,svc_none_iris_binary_class_dataset
29,iris_binary_class_dataset.csv,none,4,70,0.0571,2,22.485,8.1139,7.6941,0.5262,273,1,0.0925,0.0443,68.7725,14.9625,0.2428,0.1644,-1.0441,0.9578,1.0268,0.0129,1.9912,1.0,0.0,1,vqc,0.7666666666666667,0.7599999999999999,43.13537788391113,0.7666666666666666,"{'feature_map': 'ZZFeatureMap', 'ansatz': 'RealAmplitudes', 'optimizer': 'COBYLA', 'optimizer_params': {'maxiter': 100, 'disp': False, 'rhobeg': 1.0, 'max_evals_grouped': 1, 'options': {}, 'tol': None}}",iris_binary_class_dataset,vqc_none_iris_binary_class_dataset
30,iris_binary_class_dataset.csv,pca,3,70,0.0429,2,5.8448,8.7582,0.0,0.256,210,1,0.12,0.1652,-1.920428512386234e+17,4.3506993503196154e+17,-0.0568,0.2593,-0.4183,1.2357,0.4292,0.0132,1.9883,1.0,0.0,2,dt,1.0,1.0,0.0041348934173583,1.0,"{'estimator__ccp_alpha': 0.0, 'estimator__class_weight': None, 'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': None, 'estimator__splitter': 'best', 'estimator': DecisionTreeClassifier(), 'n_jobs': None}",iris_binary_class_dataset,dt_pca_iris_binary_class_dataset
31,iris_binary_class_dataset.csv,pca,3,70,0.0429,2,5.8448,8.7582,0.0,0.256,210,1,0.12,0.1652,-1.920428512386234e+17,4.3506993503196154e+17,-0.0568,0.2593,-0.4183,1.2357,0.4292,0.0132,1.9883,1.0,0.0,2,lr,1.0,1.0,0.0034208297729492,1.0,"{'estimator__C': 1.0, 'estimator__class_weight': None, 'estimator__dual': False, 'estimator__fit_intercept': True, 'estimator__intercept_scaling': 1, 'estimator__l1_ratio': None, 'estimator__max_iter': 10000, 'estimator__multi_class': 'deprecated', 'estimator__n_jobs': None, 'estimator__penalty': 'l2', 'estimator__random_state': None, 'estimator__solver': 'saga', 'estimator__tol': 0.0001, 'estimator__verbose': 0, 'estimator__warm_start': False, 'estimator': LogisticRegression(max_iter=10000, solver='saga'), 'n_jobs': None}",iris_binary_class_dataset,lr_pca_iris_binary_class_dataset
32,iris_binary_class_dataset.csv,pca,3,70,0.0429,2,5.8448,8.7582,0.0,0.256,210,1,0.12,0.1652,-1.920428512386234e+17,4.3506993503196154e+17,-0.0568,0.2593,-0.4183,1.2357,0.4292,0.0132,1.9883,1.0,0.0,2,mlp,1.0,1.0,0.1062471866607666,1.0,"{'estimator__activation': 'relu', 'estimator__alpha': 0.0001, 'estimator__batch_size': 'auto', 'estimator__beta_1': 0.9, 'estimator__beta_2': 0.999, 'estimator__early_stopping': False, 'estimator__epsilon': 1e-08, 'estimator__hidden_layer_sizes': 100, 'estimator__learning_rate': 'constant', 'estimator__learning_rate_init': 0.001, 'estimator__max_fun': 15000, 'estimator__max_iter': 10000, 'estimator__momentum': 0.9, 'estimator__n_iter_no_change': 10, 'estimator__nesterovs_momentum': True, 'estimator__power_t': 0.5, 'estimator__random_state': None, 'estimator__shuffle': True, 'estimator__solver': 'adam', 'estimator__tol': 0.0001, 'estimator__validation_fraction': 0.1, 'estimator__verbose': False, 'estimator__warm_start': False, 'estimator': MLPClassifier(hidden_layer_sizes=100, max_iter=10000), 'n_jobs': None}",iris_binary_class_dataset,mlp_pca_iris_binary_class_dataset
33,iris_binary_class_dataset.csv,pca,3,70,0.0429,2,5.8448,8.7582,0.0,0.256,210,1,0.12,0.1652,-1.920428512386234e+17,4.3506993503196154e+17,-0.0568,0.2593,-0.4183,1.2357,0.4292,0.0132,1.9883,1.0,0.0,2,nb,1.0,1.0,0.0031759738922119,1.0,"{'estimator__priors': None, 'estimator__var_smoothing': 1e-09, 'estimator': GaussianNB(), 'n_jobs': None}",iris_binary_class_dataset,nb_pca_iris_binary_class_dataset
34,iris_binary_class_dataset.csv,pca,3,70,0.0429,2,5.8448,8.7582,0.0,0.256,210,1,0.12,0.1652,-1.920428512386234e+17,4.3506993503196154e+17,-0.0568,0.2593,-0.4183,1.2357,0.4292,0.0132,1.9883,1.0,0.0,2,pqk,1.0,1.0,2.0208098888397217,1.0,"{'feature_map': 'ZZFeatureMap', 'feature_map_reps': 4, 'entanglement': 'pairwise', 'svc_best_params': {'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}}",iris_binary_class_dataset,pqk_pca_iris_binary_class_dataset
